Automated detection of cybersecurity attacks in healthcare systems with recursive feature elimination and multilayer perceptron optimization,Code,0,The paper does not mention or provide access to any public implementation code.
,Data,4,"The model is evaluated on multiple, cited, publicly available healthcare and IoMT datasets."
,Customizability,4,"The model's key components, including feature selection and MLP hyperparameters, are explicitly designed to be optimized and tuned."
,Support,0,"As a journal article, it lacks formal support channels or active maintenance."
,Automability,4,The proposed model is a data analysis pipeline that can be fully automated from feature selection to classification.
,I/O,4,"The system is implemented using standard Python libraries, making it compatible with common data formats like CSV."
,Environment,4,"The implementation relies on the standard Python Scikit-Learn library, which is a lightweight and portable environment."
,Latency,2,"While inference is likely fast, the hyperparameter optimization is time-consuming, making it suitable for offline model training."
Towards Autonomous Cybersecurity An Intelligent AutoML Framework for Autonomous Intrusion Detection,Code,4,The paper provides a direct link to a public GitHub repository containing the implementation code.
,Data,4,"The evaluation uses two well-described, publicly available benchmark network security datasets."
,Customizability,4,"The framework is modular and its components, like the feature selection threshold, can be tuned for specific tasks."
,Support,2,"A public GitHub repository is provided, which offers a channel for community support, though no formal maintenance is guaranteed."
,Automability,4,The framework's core purpose is to automate the entire machine learning pipeline from data pre-processing to model ensembling.
,I/O,4,"The system processes standard network security datasets and uses common Python libraries, ensuring compatibility with standard formats."
,Environment,4,The framework is built in Python with standard libraries and runs on a normal desktop computer.
,Latency,4,"The model achieves a very low average test time per sample, making it highly suitable for real-time intrusion detection."
Toward Automated Cyber Defense with Secure Sharing of Structured Cyber Threat Intelligence,Code,2,"The paper provides a link to supplementary protocol details on GitHub, but not the full system implementation."
,Data,4,The threat detection component uses well-described and collectible metric data from a standard OpenStack service.
,Customizability,4,"The system is modular, allowing administrators to configure ReBAC policies and define custom, reusable tasks for Courses of Action."
,Support,0,"As an academic paper, it lacks formal support channels or comprehensive documentation for the full prototype."
,Automability,4,"The system is explicitly designed to automate the full cycle of threat detection, intelligence generation, sharing, and mitigation."
,I/O,4,"The system uses standard, well-defined formats and protocols like STIX, TAXII, and REST APIs for interoperability."
,Environment,0,"The prototype is built on a heavy and specific OpenStack cloud environment, making it not easily portable."
,Latency,4,The system is designed for real-time threat detection and automated response based on frequently collected metrics.
A demonstration of VEREFOO An automated framework for virtual firewall configuration,Code,4,The paper states the framework is open-source and provides a direct link to the GitHub repository.
,Data,4,"The tool's data source is user-provided network topologies and intents, making it open and well-described by design."
,Customizability,4,"The framework is entirely driven by user-specified network topologies and security intents, making it fully customizable."
,Support,4,"The framework is an open-source project on GitHub with versioning, indicating active maintenance and support."
,Automability,4,"The framework's core automates the process of refining high-level intents into optimized, low-level firewall rules."
,I/O,4,The framework uses standard inputs like XML files and REST APIs and can generate rules for multiple firewall implementations.
,Environment,2,"The framework is a Java Spring Boot application, which is a standard but moderately heavy enterprise stack."
,Latency,4,The framework is explicitly designed to compute configurations in a fast way compatible with dynamic network virtualization.
APIARY An API-based automatic rule generator for yara to enhance malware detection,Code,0,The paper does not provide or link to a public repository for the APIARY algorithm itself.
,Data,4,The evaluation is performed on nine well-described datasets sourced and cited from existing literature.
,Customizability,2,"The framework allows for some tuning of its core d_MIN hyperparameter, but the overall logic is not highly modular."
,Support,0,"As an academic paper, there are no formal support channels or active maintenance."
,Automability,4,The framework is an algorithm designed to automatically generate YARA rules from input datasets without manual intervention.
,I/O,4,The system ingests data from common report formats like JSON/XML and outputs standard YARA rules.
,Environment,4,"The algorithm is implemented in Python with standard libraries, suggesting a lightweight and portable environment."
,Latency,2,"Rule generation can take from seconds to hours depending on the dataset, making it suitable for periodic, offline execution."
CyberSentinel An Emergent Threat Detection,Code,4,The paper provides a direct link to the full source code in a public GitHub repository.
,Data,4,The system uses well-described data sources like SSH logs and provides sample datasets in the repository.
,Customizability,4,The system is designed to be highly configurable through simple configuration files for thresholds and retraining intervals.
,Support,4,"The public GitHub repository includes source code, documentation, deployment files, and pre-trained models."
,Automability,4,"The framework operates as a daemon with automated log monitoring, scheduled retraining, and automated mitigation actions."
,I/O,4,The system uses standard output formats like JSON and Syslog for logging and integrates with other tools via RESTful APIs.
,Environment,4,"The system is described as a lightweight, cross-platform Python application with Dockerfiles for easy deployment."
,Latency,4,Performance benchmarks demonstrate high throughput and low-latency detection suitable for real-time operation.
Selection of Pareto-efficient response plans based on financial and operational assessments,Code,0,The paper describes the implementation within the PANOPTESEC cyber-defense system but does not provide any information about the code being publicly available.
,Data,2,"The data is from a private, real-world energy distribution organization; while the structure and acquisition methods are described, the data itself is not open or standardized."
,Customizability,2,"The framework requires significant tuning and expert knowledge to define financial parameters, business dependency models, and local impact probabilities for mitigation actions."
,Support,2,"The paper provides some documentation of the method and mentions future work, but as a 2017 research article, it is unlikely to have active, responsive support channels."
,Automability,2,"The overall approach is semi-automated, as it depends heavily on manual expert interviews to acquire the financial models and mission dependency models before the automated selection process can run."
,I/O,2,"The system uses internal, complex probabilistic and geometric models, and the paper does not mention the use of standard input/output formats like JSON or CSV, suggesting data transformation would be needed for integration."
,Environment,2,"The approach relies on computationally expensive probabilistic inference and Monte-Carlo simulations, indicating it is not a lightweight tool and has moderate dependencies."
,Latency,2,"The evaluation process takes seconds for large models, making it acceptable for periodic or batch-based planning but not for real-time, instantaneous operation."
Stateful RORI-based countermeasure selection using hypergraphs,Code,0,"No link to public code is provided, and the demo link mentioned in the paper is inactive."
,Data,2,The paper uses a private but well-described case study and standardized CVSS data.
,Customizability,4,The approach is designed to be dynamic and adapt to system state changes via its parametric StRORI metric.
,Support,0,"As an academic publication, it does not offer formal support channels or documentation beyond the paper."
,Automability,4,The framework is presented as an automated response selection mechanism that can evaluate and rank countermeasures.
,I/O,2,"The prototype's input data gathering component normalizes data from various sources, indicating transformation is needed."
,Environment,2,"The prototype is implemented in Java and was tested on a standard PC, indicating moderate dependencies."
,Latency,2,"The selection process takes seconds for a large architecture, making it acceptable for periodic execution but not real-time."
Framework for Calculating Return on Security Investment (ROSI) for Security-Oriented Organizations,Code,0,The paper proposes a framework but does not provide or mention any implementation code.
,Data,4,The framework's validation and likelihood calculations are explicitly based on the standardized CVSS dataset.
,Customizability,4,The phased framework is designed for organization-specific data and uses Bayesian theorem for dynamic updates.
,Support,0,"As a research publication, it does not offer any formal support or maintenance."
,Automability,0,"The framework is a highly manual, multi-phase process, with automation identified as future work."
,I/O,0,The framework relies on manually gathered information from diverse sources with no defined input/output formats.
,Environment,4,The methodology is based on mathematical formulas and does not require a specific or heavy computational environment.
,Latency,0,"The framework is a comprehensive, multi-stage manual process intended for strategic planning, not real-time use."
Dynamic Optimal Countermeasure Selection for Intrusion Response System,Code,0,The paper does not mention or link to any publicly available source code for its CICS framework.
,Data,4,"The experimental setup is well-described with specific CVEs, and data generation is clearly explained."
,Customizability,4,The framework is explicitly designed to be dynamic and fine-tuned to the intrusion context using tunable weights.
,Support,0,"As an academic publication, the paper does not offer any formal support or maintenance."
,Automability,4,The proposed framework is an automated intrusion response system that selects and deploys countermeasures.
,I/O,2,"The framework is integrated with specific platforms like OpenStack and Snort, requiring transformation for other environments."
,Environment,0,"The validation requires a specific and heavy cloud stack (OpenStack, OpenDaylight), making it not easily portable."
,Latency,4,"The entire response process completes in under 500 milliseconds, making it suitable for near real-time reaction."
Efficient attack countermeasure selection accounting for recovery and action costs,Code,0,The paper does not mention or provide a link to any publicly available source code.
,Data,2,"Data is synthetically generated using a well-described process, ensuring reproducibility."
,Customizability,4,The model is based on attack and dependency graphs with defined cost structures that can be modified.
,Support,0,This academic paper does not provide any formal support or maintenance channels.
,Automability,4,The CICM method is an algorithm designed to automatically select the most cost-effective countermeasure.
,I/O,2,"The model requires graph-based inputs, which need to be formatted from raw data into a specific structure."
,Environment,4,"The method is based on graph analysis and simulations, which do not appear to require heavy dependencies."
